scorer,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,bodybase,bodybase,bodybase,tailbase,tailbase,tailbase,headbase,headbase,headbase,noses,noses,noses,tailtail,tailtail,tailtail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,1425.085,853.712,1.0,1406.891,909.584,1.0,1435.318,807.726,1.0,1413.326,766.944,1.0,1402.336,938.133,1.0
38,1424.314,854.469,1.0,1406.779,909.516,1.0,1435.775,809.205,1.0,1418.125,766.126,1.0,1402.278,938.145,1.0
39,1424.783,855.912,1.0,1406.898,909.387,1.0,1435.473,809.938,1.0,1418.327,767.466,1.0,1402.339,938.075,1.0
40,1424.958,856.084,1.0,1406.832,909.344,1.0,1435.441,810.053,1.0,1418.374,767.725,1.0,1402.408,937.925,1.0
41,1424.314,856.075,1.0,1406.766,909.125,1.0,1435.176,810.153,1.0,1418.35,767.128,1.0,1402.48,937.772,1.0
42,1424.581,856.754,1.0,1406.558,908.887,1.0,1434.995,810.709,1.0,1418.845,768.702,1.0,1402.463,937.45,1.0
43,1424.578,856.454,1.0,1406.641,909.182,1.0,1434.84,810.967,1.0,1418.981,768.841,1.0,1402.643,937.697,1.0
44,1424.713,856.353,1.0,1406.611,909.271,1.0,1434.556,810.022,1.0,1417.371,767.39,1.0,1402.491,937.817,1.0
45,1424.666,855.919,1.0,1406.677,909.135,1.0,1434.959,807.903,1.0,1412.252,764.974,1.0,1402.453,937.737,1.0
46,1424.092,854.631,1.0,1406.837,909.455,1.0,1433.487,805.594,1.0,1406.876,763.836,1.0,1402.391,937.929,1.0
