scorer,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,bodybase,bodybase,bodybase,tailbase,tailbase,tailbase,headbase,headbase,headbase,noses,noses,noses,tailtail,tailtail,tailtail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
168,1384.468,928.833,1.0,1432.441,917.937,1.0,1344.488,938.254,1.0,1306.392,932.289,1.0,1442.851,939.832,1.0
169,1384.467,928.233,1.0,1431.725,918.286,1.0,1344.63,937.837,1.0,1303.714,929.217,1.0,1442.435,940.186,1.0
170,1383.273,927.48,1.0,1431.101,917.875,1.0,1343.837,937.585,1.0,1301.327,929.167,1.0,1442.28,939.696,1.0
171,1380.61,926.996,1.0,1430.778,917.362,1.0,1343.259,936.822,1.0,1296.234,925.142,1.0,1442.381,939.786,1.0
172,1379.686,926.568,1.0,1431.171,917.856,1.0,1338.913,934.56,1.0,1294.23,924.623,1.0,1442.708,939.827,1.0
173,1376.794,928.543,1.0,1431.294,918.62,1.0,1327.747,938.754,1.0,1284.447,919.773,1.0,1443.051,940.863,1.0
174,1375.856,927.707,1.0,1430.625,919.532,1.0,1329.258,935.539,1.0,1282.412,921.826,1.0,1442.18,940.353,1.0
175,1370.219,928.926,1.0,1428.698,923.085,1.0,1320.154,932.159,1.0,1278.983,917.523,1.0,1442.281,939.969,1.0
176,1366.788,929.364,1.0,1423.772,925.012,1.0,1310.017,933.546,1.0,1275.151,913.205,1.0,1440.907,941.906,1.0
177,1355.835,933.39,1.0,1423.994,927.235,1.0,1306.253,932.745,1.0,1263.959,914.101,1.0,1440.809,946.331,1.0
178,1350.386,936.723,1.0,1410.859,929.991,0.9869999885559082,1296.471,933.333,1.0,1256.799,914.877,1.0,1437.321,949.568,1.0
179,1339.894,933.116,1.0,1408.231,928.772,1.0,1293.522,930.102,1.0,1251.457,912.931,1.0,1427.864,938.576,0.9710000157356262
180,1337.439,933.732,1.0,1403.199,930.022,1.0,1286.609,928.281,1.0,1244.428,918.725,1.0,1422.62,932.268,1.0
181,1331.19,934.507,1.0,1397.823,931.943,1.0,1278.671,930.575,1.0,1239.106,921.452,1.0,1419.627,931.435,1.0
182,1322.372,930.616,1.0,1395.043,933.78,1.0,1272.17,927.092,1.0,1229.989,922.961,1.0,1412.597,932.893,1.0
183,1313.981,930.062,1.0,1380.67,936.092,1.0,1259.847,927.155,1.0,1219.832,916.567,1.0,1400.593,932.876,1.0
184,1304.124,928.96,1.0,1370.596,931.963,1.0,1248.561,926.456,1.0,1209.257,921.834,1.0,1391.664,929.688,1.0
185,1293.748,930.179,1.0,1362.265,936.51,1.0,1238.043,928.172,1.0,1198.125,918.365,1.0,1383.063,935.842,1.0
186,1282.964,933.97,1.0,1352.1,942.534,1.0,1231.026,925.402,1.0,1190.362,915.131,1.0,1374.764,935.027,1.0
187,1273.028,935.509,1.0,1340.254,945.352,1.0,1226.016,927.786,1.0,1182.748,915.592,1.0,1366.207,935.543,1.0
188,1260.779,939.266,1.0,1330.851,945.521,1.0,1217.463,932.693,1.0,1173.222,923.64,1.0,1354.912,940.018,1.0
189,1255.086,941.211,1.0,1321.43,943.354,1.0,1203.552,933.685,1.0,1169.604,934.449,1.0,1343.785,934.527,1.0
190,1244.129,939.831,1.0,1313.239,941.944,1.0,1195.301,935.736,1.0,1159.512,934.279,1.0,1334.597,933.064,1.0
191,1235.05,937.532,1.0,1300.598,942.693,1.0,1184.816,940.219,1.0,1151.375,942.908,1.0,1324.144,937.508,1.0
192,1225.573,936.826,1.0,1293.425,944.34,1.0,1177.689,943.624,1.0,1143.546,942.199,1.0,1314.143,937.152,1.0
193,1217.313,940.058,1.0,1276.824,943.582,1.0,1169.855,947.036,1.0,1134.68,947.679,1.0,1304.982,943.248,1.0
194,1207.689,940.769,1.0,1271.684,947.678,1.0,1156.039,951.268,1.0,1117.586,951.756,1.0,1295.87,949.201,1.0
195,1195.271,942.685,1.0,1259.38,948.75,1.0,1144.837,954.991,1.0,1104.764,954.14,1.0,1279.55,948.255,1.0
196,1181.724,948.453,1.0,1244.419,950.154,1.0,1129.495,949.773,1.0,1090.506,951.251,1.0,1266.993,951.727,1.0
197,1161.503,956.957,1.0,1227.471,952.29,1.0,1112.751,958.399,1.0,1075.041,956.773,1.0,1251.516,951.182,1.0
198,1140.576,959.5,1.0,1210.205,955.341,1.0,1097.09,958.153,1.0,1059.233,961.307,1.0,1235.026,950.346,1.0
199,1125.859,959.236,1.0,1192.555,955.379,1.0,1080.462,961.433,1.0,1043.049,965.557,1.0,1217.416,950.236,1.0
200,1109.768,958.246,1.0,1175.892,956.221,1.0,1061.696,966.079,1.0,1027.792,968.136,1.0,1199.901,950.716,1.0
201,1095.357,958.36,1.0,1160.551,958.458,1.0,1046.975,965.754,1.0,1012.806,971.687,1.0,1182.501,956.256,1.0
202,1084.357,963.005,1.0,1145.43,961.754,1.0,1035.643,968.998,1.0,999.291,969.277,1.0,1167.187,961.628,1.0
203,1071.14,965.999,1.0,1139.556,967.953,1.0,1025.422,966.524,1.0,986.229,961.691,1.0,1162.408,971.266,1.0
204,1055.479,971.0,1.0,1120.443,969.155,1.0,1005.319,966.053,1.0,973.089,959.438,1.0,1146.463,969.443,1.0
205,1038.707,971.081,1.0,1105.981,967.409,1.0,989.603,964.406,1.0,957.499,960.21,1.0,1131.559,968.842,1.0
206,1023.279,965.372,1.0,1091.348,970.052,1.0,974.782,962.272,1.0,944.138,958.365,1.0,1113.842,966.373,1.0
207,1014.027,965.265,1.0,1080.587,967.315,1.0,964.363,961.475,1.0,926.617,961.273,1.0,1104.586,969.901,1.0
208,1000.062,964.635,1.0,1063.349,971.156,1.0,952.175,960.041,1.0,912.659,961.926,1.0,1087.321,970.995,1.0
209,982.805,962.867,1.0,1048.32,967.97,1.0,935.385,958.023,1.0,898.111,958.547,1.0,1069.505,965.726,1.0
210,967.298,962.874,1.0,1033.885,968.716,1.0,915.553,958.12,1.0,879.844,951.04,1.0,1054.612,965.862,1.0
211,952.109,962.218,1.0,1019.375,965.764,1.0,901.263,956.077,1.0,863.746,952.079,1.0,1038.712,964.195,1.0
212,933.419,964.147,1.0,1002.658,963.232,1.0,883.874,958.838,1.0,845.221,954.265,1.0,1022.793,967.655,1.0
213,912.1,958.8,1.0,980.812,966.765,1.0,863.381,957.005,1.0,830.227,952.154,1.0,1004.15,966.392,1.0
214,896.879,958.348,1.0,961.465,967.056,1.0,842.73,959.986,1.0,809.609,958.414,1.0,984.71,967.847,1.0
215,881.01,960.499,1.0,944.719,964.79,1.0,829.597,964.852,1.0,795.121,958.145,1.0,969.136,966.201,1.0
216,864.188,965.184,1.0,932.172,963.512,1.0,815.651,966.157,1.0,780.675,959.392,1.0,956.124,966.83,1.0
217,850.91,964.907,1.0,917.206,966.076,1.0,797.856,964.464,1.0,763.949,960.817,1.0,940.214,970.896,1.0
218,834.334,963.336,1.0,900.177,965.006,1.0,784.015,962.405,1.0,749.01,959.967,1.0,924.52,968.649,1.0
219,815.904,964.87,1.0,884.93,965.89,1.0,767.167,962.823,1.0,733.107,959.924,1.0,907.955,964.495,1.0
220,798.154,967.912,1.0,862.021,967.719,1.0,749.031,963.883,1.0,713.162,960.959,1.0,888.671,965.302,1.0
221,782.059,966.173,1.0,844.663,966.634,1.0,726.341,965.061,1.0,693.097,961.596,1.0,873.876,966.677,1.0
222,766.03,966.932,1.0,829.828,967.503,1.0,709.559,966.996,1.0,682.566,970.561,1.0,854.279,966.064,1.0
223,754.261,967.651,1.0,816.139,965.844,1.0,697.147,967.523,1.0,668.818,969.651,1.0,841.244,964.634,1.0
224,739.809,968.073,1.0,808.547,968.067,1.0,686.603,968.556,1.0,656.859,966.456,1.0,832.293,969.142,1.0
225,732.474,967.395,1.0,797.859,966.941,1.0,677.336,967.605,1.0,648.934,964.773,1.0,815.022,964.874,1.0
226,721.564,967.048,1.0,783.33,969.063,1.0,662.901,964.936,1.0,632.28,959.059,1.0,806.859,968.974,1.0
227,704.509,968.699,1.0,773.249,970.694,1.0,655.378,962.665,1.0,624.506,959.84,1.0,795.578,967.911,1.0
228,693.281,969.852,1.0,758.729,968.855,1.0,643.427,961.881,1.0,610.031,954.32,1.0,781.735,967.182,1.0
229,680.81,969.185,1.0,747.898,969.664,1.0,633.885,963.029,1.0,596.521,957.289,1.0,770.667,965.701,1.0
230,671.275,965.968,1.0,737.967,967.096,1.0,619.042,962.315,1.0,592.837,961.111,1.0,761.128,966.187,1.0
231,658.428,965.608,1.0,732.955,967.15,1.0,606.314,965.631,1.0,582.482,962.234,1.0,750.817,968.826,1.0
232,657.326,961.635,1.0,720.565,966.618,1.0,601.282,963.567,1.0,575.362,970.415,1.0,745.348,971.532,1.0
233,652.394,961.036,1.0,716.125,968.668,1.0,601.381,964.615,1.0,565.26,966.664,1.0,735.767,965.064,1.0
234,649.102,962.331,1.0,710.998,966.601,1.0,598.288,965.116,1.0,564.685,969.731,1.0,733.848,965.564,1.0
235,649.432,964.059,1.0,710.842,967.085,1.0,598.77,967.363,1.0,563.92,969.979,1.0,732.899,966.816,1.0
236,648.601,963.35,1.0,709.55,966.729,1.0,600.151,967.029,1.0,562.062,974.014,1.0,732.803,966.976,1.0
237,646.826,962.858,1.0,709.231,966.63,1.0,600.92,966.817,1.0,559.228,973.862,1.0,736.924,968.494,1.0
238,649.88,963.212,1.0,712.124,968.566,1.0,599.417,964.518,1.0,560.471,969.452,1.0,736.158,968.092,1.0
239,650.857,964.62,1.0,711.137,966.978,1.0,602.209,966.665,1.0,561.56,967.237,1.0,734.938,967.234,1.0
240,647.86,965.078,1.0,709.832,967.874,1.0,602.035,967.091,1.0,560.663,965.782,1.0,733.278,966.315,1.0
241,647.318,965.148,1.0,709.23,968.789,1.0,601.041,966.417,1.0,558.905,967.633,1.0,733.165,967.099,1.0
242,645.942,964.256,1.0,709.423,968.86,1.0,598.895,964.625,1.0,555.277,963.297,1.0,733.179,967.158,1.0
243,644.98,964.638,1.0,709.023,968.54,1.0,594.039,964.06,1.0,549.88,959.511,1.0,732.507,966.68,1.0
244,642.665,964.207,1.0,705.262,968.317,1.0,590.617,960.701,1.0,548.918,960.428,1.0,728.775,966.954,1.0
245,642.039,963.209,1.0,701.62,967.973,1.0,592.268,960.909,1.0,543.706,955.946,1.0,726.124,967.027,1.0
246,639.621,962.183,1.0,702.81,968.019,1.0,588.085,961.278,1.0,543.499,958.399,1.0,727.169,964.312,1.0
247,638.74,961.845,1.0,702.854,967.706,1.0,588.065,961.513,1.0,543.149,959.469,1.0,726.315,964.263,1.0
248,639.111,962.17,1.0,702.029,967.952,1.0,585.153,961.656,1.0,541.987,957.532,1.0,724.713,963.972,1.0
249,638.723,962.034,1.0,701.573,967.653,1.0,586.047,960.588,1.0,541.281,959.213,1.0,723.938,963.798,1.0
250,638.472,961.899,1.0,702.312,968.064,1.0,587.26,961.08,1.0,545.013,956.078,1.0,725.792,963.688,1.0
251,638.783,961.428,1.0,703.091,968.528,1.0,592.249,958.908,1.0,546.293,950.949,1.0,726.841,963.836,1.0
252,644.137,963.431,1.0,701.175,968.991,1.0,596.117,956.416,1.0,557.648,944.764,1.0,726.051,967.131,1.0
253,644.993,963.65,1.0,702.3,969.601,1.0,600.906,953.293,1.0,563.904,935.96,1.0,727.597,968.514,1.0
254,646.73,963.421,1.0,704.112,971.836,1.0,603.646,949.375,1.0,572.671,930.806,1.0,728.719,969.914,1.0
255,648.238,963.349,1.0,705.895,973.651,1.0,605.892,954.063,1.0,583.523,925.438,1.0,731.263,970.582,1.0
256,648.824,963.225,1.0,706.019,974.252,1.0,607.661,944.638,1.0,591.83,921.089,1.0,732.118,972.466,1.0
257,648.055,961.846,1.0,705.139,974.774,1.0,605.713,936.694,1.0,591.493,908.459,1.0,731.912,973.173,1.0
258,647.413,958.302,1.0,702.739,976.393,1.0,607.911,932.286,1.0,596.547,893.843,1.0,729.105,977.605,1.0
259,647.037,955.234,1.0,704.702,976.49,1.0,607.15,924.855,1.0,600.83,889.945,1.0,728.667,978.67,1.0
260,638.727,951.27,1.0,700.359,975.312,1.0,607.075,920.956,1.0,597.218,881.498,1.0,722.365,979.637,1.0
261,634.522,946.198,1.0,690.164,975.356,1.0,601.043,911.875,1.0,596.886,873.253,1.0,716.438,983.382,1.0
262,624.985,938.13,1.0,680.709,976.847,1.0,603.4,906.837,1.0,596.198,863.969,1.0,702.431,980.511,1.0
263,616.521,929.209,1.0,,,0.0,597.852,890.224,1.0,594.593,860.879,1.0,,,0.0
264,617.195,922.049,1.0,668.96,967.67,1.0,592.92,883.525,1.0,584.792,847.895,1.0,692.068,972.111,1.0
265,616.622,911.841,1.0,661.585,961.63,1.0,592.776,869.764,1.0,582.018,840.804,1.0,684.717,968.584,1.0
266,608.88,904.599,1.0,654.887,962.145,1.0,589.984,863.708,1.0,573.74,828.899,1.0,677.364,971.611,1.0
267,607.214,896.627,1.0,641.654,954.508,1.0,589.108,855.725,1.0,576.395,819.474,1.0,666.262,965.432,1.0
268,601.449,885.637,1.0,636.691,945.213,1.0,584.069,842.619,1.0,565.525,810.285,1.0,656.546,955.875,1.0
269,598.306,881.201,1.0,628.273,937.556,1.0,584.298,843.93,1.0,568.486,808.266,1.0,648.191,953.534,1.0
270,597.926,881.681,1.0,622.927,938.062,1.0,580.287,844.044,1.0,561.476,806.934,1.0,645.441,953.684,1.0
271,598.23,881.557,1.0,621.572,934.84,1.0,579.552,842.838,1.0,559.367,807.159,1.0,643.877,954.781,1.0
272,598.341,881.669,1.0,622.355,935.118,1.0,578.843,843.796,1.0,558.415,806.798,1.0,645.073,955.349,1.0
273,599.178,881.633,1.0,622.875,934.914,1.0,579.235,843.951,1.0,558.235,807.006,1.0,645.748,955.507,1.0
274,599.548,881.528,1.0,622.957,934.744,1.0,579.259,843.769,1.0,558.013,807.174,1.0,645.899,955.799,1.0
275,600.419,880.878,1.0,622.931,934.405,1.0,579.718,843.786,1.0,557.915,807.143,1.0,646.1,956.731,1.0
276,600.869,880.888,1.0,622.868,934.33,1.0,579.328,843.379,1.0,558.36,806.822,1.0,646.17,956.699,1.0
277,601.34,880.826,1.0,623.11,934.292,1.0,579.421,843.535,1.0,558.308,806.774,1.0,646.494,957.177,1.0
278,601.195,881.145,1.0,623.362,934.347,1.0,580.307,844.152,1.0,557.768,808.173,1.0,645.007,948.285,1.0
279,601.642,881.444,1.0,624.109,934.577,1.0,580.449,845.01,1.0,557.916,809.4,1.0,645.484,948.426,1.0
280,601.476,881.614,1.0,624.127,934.796,1.0,580.173,845.02,1.0,557.557,808.081,1.0,645.537,948.391,1.0
281,601.276,881.748,1.0,624.149,934.578,1.0,579.901,845.539,1.0,557.605,808.067,1.0,645.452,948.409,1.0
282,601.446,881.822,1.0,624.036,934.569,1.0,580.012,845.157,1.0,556.743,808.894,1.0,645.393,948.443,1.0
283,601.64,881.908,1.0,622.431,934.268,1.0,580.388,837.572,1.0,555.728,816.355,1.0,644.163,956.812,1.0
284,603.566,880.166,1.0,624.78,936.651,1.0,577.372,843.612,1.0,549.097,821.2,1.0,639.169,955.468,1.0
285,602.299,883.818,1.0,623.961,936.585,1.0,577.96,850.444,1.0,552.32,827.804,1.0,638.458,955.222,1.0
286,603.397,884.035,1.0,623.975,937.636,1.0,580.989,854.725,1.0,548.839,826.987,1.0,640.038,951.927,1.0
287,599.789,882.765,1.0,625.82,938.595,1.0,577.975,856.772,1.0,546.076,827.881,1.0,639.368,951.782,1.0
288,600.027,882.036,1.0,620.961,935.775,1.0,577.615,857.551,1.0,547.177,826.919,1.0,639.633,951.619,1.0
289,600.797,882.348,1.0,621.452,935.659,1.0,577.743,856.321,1.0,549.705,830.833,1.0,639.774,951.525,1.0
290,601.291,882.984,1.0,621.679,935.644,1.0,578.012,856.202,1.0,549.938,830.655,1.0,640.121,951.638,1.0
291,600.085,882.366,1.0,621.901,935.372,1.0,578.207,856.122,1.0,549.148,827.505,1.0,639.906,951.532,1.0
292,599.167,881.229,1.0,621.886,935.141,1.0,581.408,853.743,1.0,565.721,824.488,1.0,639.032,951.077,1.0
293,601.305,882.74,1.0,624.856,936.748,1.0,586.576,848.741,1.0,573.408,819.76,1.0,638.683,951.152,1.0
294,601.383,881.547,1.0,621.018,935.014,1.0,582.9,848.39,1.0,580.125,818.034,1.0,638.88,951.387,1.0
295,601.652,879.331,1.0,624.615,937.111,1.0,583.135,845.637,1.0,585.27,809.598,1.0,638.587,951.341,1.0
296,603.59,877.973,1.0,622.578,935.406,1.0,583.011,841.958,1.0,588.568,801.934,1.0,640.161,954.86,1.0
297,597.947,877.19,1.0,617.898,932.464,1.0,582.496,830.354,1.0,586.506,796.528,1.0,634.826,951.054,1.0
298,596.208,870.151,1.0,613.121,926.789,1.0,585.743,822.347,1.0,591.775,792.635,1.0,630.319,948.429,1.0
299,592.233,861.317,1.0,606.203,922.417,1.0,588.33,821.81,1.0,605.065,783.086,1.0,624.448,940.866,1.0
300,592.343,849.955,1.0,606.79,917.208,1.0,596.491,807.366,1.0,609.573,777.034,1.0,618.112,936.97,1.0
301,596.163,844.844,1.0,602.75,914.678,1.0,600.751,799.021,1.0,618.181,764.332,1.0,619.314,933.428,1.0
302,603.657,835.289,1.0,599.968,904.847,1.0,608.292,795.298,1.0,620.203,759.024,1.0,609.962,924.811,1.0
303,600.373,822.796,1.0,592.809,894.891,1.0,609.019,778.562,1.0,624.827,743.768,1.0,600.026,915.601,1.0
304,602.988,810.025,1.0,589.535,880.294,1.0,616.79,766.976,1.0,626.661,734.468,1.0,597.086,904.587,1.0
305,603.515,797.352,1.0,593.838,865.397,1.0,615.987,755.926,1.0,629.417,722.011,1.0,592.812,888.992,1.0
306,605.742,787.191,1.0,588.901,855.364,1.0,619.346,740.594,1.0,630.651,713.027,1.0,593.465,881.454,1.0
307,609.799,777.955,1.0,588.816,849.975,1.0,619.448,734.909,1.0,636.043,701.493,1.0,587.692,873.523,1.0
308,605.677,764.371,1.0,594.766,833.652,1.0,620.932,722.382,1.0,636.306,687.763,1.0,594.269,860.536,1.0
309,610.284,754.891,1.0,592.551,822.243,1.0,623.068,711.128,1.0,629.973,675.32,1.0,589.386,849.638,1.0
310,616.188,746.594,1.0,592.806,814.702,1.0,620.643,693.719,1.0,629.231,666.559,1.0,593.068,844.053,1.0
311,615.247,728.023,1.0,595.369,802.082,1.0,616.258,685.523,1.0,621.721,651.032,1.0,592.026,823.692,1.0
312,613.329,715.718,1.0,594.557,787.095,1.0,620.367,670.475,1.0,625.666,639.374,1.0,590.915,808.687,1.0
313,610.948,704.033,1.0,599.998,769.898,1.0,620.188,656.306,1.0,626.022,622.456,1.0,594.364,794.933,1.0
314,613.27,694.943,1.0,599.272,765.028,1.0,619.125,649.104,1.0,629.9,620.185,1.0,601.601,791.813,1.0
315,613.795,685.469,1.0,602.433,754.735,1.0,617.107,638.221,1.0,630.028,603.119,1.0,602.312,782.852,1.0
316,613.205,671.461,1.0,601.754,748.764,1.0,617.665,631.361,1.0,622.166,600.164,1.0,600.14,774.962,1.0
317,610.336,661.694,1.0,604.361,733.678,1.0,618.069,613.512,1.0,622.565,586.788,1.0,602.401,761.343,1.0
318,611.265,653.618,1.0,605.738,724.497,1.0,616.413,602.045,1.0,621.618,577.851,1.0,601.104,750.268,1.0
319,613.521,645.352,1.0,603.291,714.524,1.0,609.201,599.41,1.0,605.636,571.493,1.0,604.511,743.378,1.0
320,609.523,633.271,1.0,603.967,703.305,1.0,603.597,586.896,1.0,599.304,560.818,1.0,601.118,731.065,1.0
321,606.218,630.357,1.0,600.886,695.749,1.0,603.868,585.041,1.0,594.178,554.99,1.0,600.095,722.963,1.0
322,604.099,619.176,1.0,601.925,686.673,1.0,590.253,569.139,1.0,590.812,543.068,1.0,600.315,712.229,1.0
323,600.606,614.133,1.0,598.185,681.031,1.0,590.589,562.106,1.0,589.3,538.513,1.0,596.208,701.101,1.0
324,594.933,602.325,1.0,595.757,670.819,1.0,584.969,550.36,1.0,583.401,522.102,1.0,597.277,699.057,1.0
325,591.126,588.367,1.0,597.525,656.378,1.0,582.259,536.745,1.0,585.769,510.891,1.0,597.193,684.43,1.0
326,591.431,576.783,1.0,593.396,647.636,1.0,581.956,527.705,1.0,586.487,496.557,1.0,598.401,671.765,1.0
327,586.727,562.005,1.0,589.774,630.849,1.0,584.063,514.897,1.0,591.4,491.942,1.0,595.486,659.749,1.0
328,586.551,554.335,1.0,590.596,626.272,1.0,584.52,500.2,1.0,590.232,475.559,1.0,594.198,648.247,1.0
329,590.568,540.996,1.0,589.426,612.85,1.0,586.779,492.946,1.0,594.365,466.023,1.0,588.065,636.779,1.0
330,588.664,533.86,1.0,585.088,601.26,1.0,590.672,486.398,1.0,592.22,458.493,1.0,583.914,628.719,1.0
331,588.171,522.546,1.0,584.051,594.078,1.0,591.923,471.545,1.0,595.659,445.813,1.0,585.226,616.749,1.0
332,590.0,510.128,1.0,581.383,577.018,1.0,592.933,462.666,1.0,599.065,431.379,1.0,576.218,602.039,1.0
333,589.427,496.01,1.0,581.103,565.923,1.0,603.783,447.483,1.0,612.902,421.117,1.0,577.014,589.563,1.0
334,591.356,486.217,1.0,576.452,552.719,1.0,605.539,438.369,1.0,615.387,409.649,1.0,576.208,580.959,1.0
335,588.736,475.178,1.0,576.742,545.962,1.0,605.359,420.99,1.0,621.395,399.899,1.0,577.53,569.673,1.0
336,595.24,455.505,1.0,576.232,525.551,1.0,608.65,411.598,1.0,626.379,388.188,1.0,577.485,554.948,1.0
337,599.645,448.588,1.0,580.016,519.257,1.0,617.702,401.775,1.0,631.795,375.087,1.0,578.004,543.652,1.0
338,601.298,438.832,1.0,581.298,508.306,1.0,614.051,392.29,1.0,630.974,368.466,1.0,579.839,537.105,1.0
339,601.805,429.119,1.0,581.475,494.151,1.0,616.424,377.19,1.0,630.845,358.353,1.0,576.441,520.587,1.0
340,605.075,415.659,1.0,582.5,488.473,1.0,615.104,374.916,1.0,621.498,348.863,1.0,575.627,510.346,1.0
341,602.928,409.613,1.0,582.193,482.356,1.0,608.265,363.569,1.0,619.657,343.518,1.0,577.359,507.902,1.0
342,601.636,405.044,1.0,581.698,472.408,1.0,610.271,358.252,1.0,618.624,329.838,1.0,573.883,493.276,1.0
343,601.04,394.254,1.0,582.637,463.091,1.0,608.944,348.403,1.0,614.571,318.347,1.0,576.309,488.247,1.0
344,601.084,379.148,1.0,583.74,446.768,1.0,606.861,326.513,1.0,617.49,301.957,1.0,576.653,472.793,1.0
345,601.471,363.52,1.0,586.282,430.275,1.0,604.796,313.511,1.0,614.868,285.605,1.0,579.572,456.992,1.0
346,602.415,340.155,1.0,585.16,414.063,1.0,605.547,296.566,1.0,617.429,273.47,1.0,584.654,440.528,1.0
347,601.921,332.002,1.0,587.539,401.821,1.0,605.635,280.967,1.0,609.918,258.751,1.0,585.691,425.252,1.0
348,601.769,315.841,1.0,589.986,381.78,1.0,601.372,262.979,1.0,603.058,237.01,1.0,584.048,407.866,1.0
349,599.471,302.146,1.0,590.641,367.827,1.0,590.474,249.248,1.0,588.028,226.543,1.0,585.467,394.202,1.0
350,591.791,296.161,1.0,589.777,357.75,1.0,594.441,240.865,1.0,589.982,219.719,1.0,586.061,382.927,1.0
351,592.447,280.412,1.0,588.703,347.334,1.0,588.367,228.33,1.0,583.958,202.488,1.0,583.64,373.311,1.0
352,592.189,267.79,1.0,593.176,334.041,1.0,581.821,214.135,1.0,584.176,193.003,1.0,589.194,362.151,1.0
353,589.93,253.321,1.0,592.896,326.666,1.0,587.296,208.264,1.0,574.989,181.65,1.0,589.578,351.646,1.0
354,588.329,249.193,1.0,592.379,319.393,1.0,582.028,198.883,1.0,568.583,180.847,1.0,593.411,347.716,1.0
355,587.758,249.391,1.0,589.625,316.177,1.0,584.167,198.956,1.0,572.234,177.0,1.0,592.795,345.613,1.0
356,589.843,246.701,1.0,591.673,317.166,1.0,583.834,200.968,1.0,568.023,165.265,1.0,597.223,346.066,1.0
357,591.441,241.233,1.0,589.559,310.671,1.0,584.678,194.183,1.0,567.729,165.199,1.0,591.904,336.438,1.0
358,590.568,240.837,1.0,593.387,306.077,1.0,583.537,188.215,1.0,575.354,157.392,1.0,591.621,333.81,1.0
359,589.525,231.902,1.0,588.633,304.827,1.0,586.201,185.287,1.0,576.721,155.247,1.0,584.141,329.726,1.0
360,589.349,224.221,1.0,586.585,294.521,1.0,584.608,176.949,1.0,583.646,141.422,1.0,585.488,318.301,1.0
361,588.997,220.007,1.0,585.139,289.572,1.0,588.06,167.876,1.0,585.775,141.422,1.0,586.507,314.669,1.0
362,590.107,209.551,1.0,584.967,278.894,1.0,589.801,159.111,1.0,588.048,136.14,1.0,578.877,302.328,1.0
363,586.32,204.249,1.0,581.922,274.442,1.0,590.227,155.506,1.0,595.82,127.455,1.0,581.27,299.78,1.0
364,588.087,190.267,1.0,581.442,267.358,1.0,594.002,142.324,1.0,603.058,117.142,1.0,578.732,286.689,1.0
365,588.898,185.9,1.0,581.403,256.914,1.0,592.817,132.586,1.0,600.919,112.622,1.0,577.207,282.414,1.0
366,591.114,176.141,1.0,579.198,251.732,1.0,596.497,133.714,1.0,605.881,105.016,1.0,580.046,279.484,1.0
367,589.539,172.405,1.0,576.203,244.666,1.0,595.877,124.192,1.0,602.12,105.694,1.0,576.501,269.826,1.0
368,587.927,171.257,1.0,578.839,242.972,1.0,595.247,116.984,1.0,598.478,98.65,1.0,576.94,264.11,1.0
369,588.123,170.208,1.0,579.562,240.4,1.0,593.745,116.755,1.0,597.61,91.065,1.0,579.695,267.262,1.0
370,588.408,169.95,1.0,579.959,242.001,1.0,593.581,116.82,1.0,597.706,90.912,1.0,578.333,263.249,1.0
371,588.319,170.295,1.0,580.257,242.887,1.0,593.541,116.898,1.0,597.861,91.151,1.0,578.37,263.543,1.0
372,588.226,170.623,1.0,580.711,243.671,1.0,593.587,116.966,1.0,598.28,91.494,1.0,578.467,264.201,1.0
373,589.331,170.621,1.0,581.524,236.853,1.0,593.519,116.884,1.0,598.457,91.471,1.0,578.588,264.81,1.0
374,589.819,171.229,1.0,581.099,237.396,1.0,593.608,116.889,1.0,598.666,91.584,1.0,578.426,265.332,1.0
375,590.276,170.152,1.0,581.421,237.209,1.0,593.595,116.788,1.0,598.687,91.816,1.0,578.446,265.051,1.0
376,590.345,170.189,1.0,581.408,237.244,1.0,593.554,116.88,1.0,598.914,91.994,1.0,578.404,265.057,1.0
377,590.476,170.436,1.0,581.488,237.211,1.0,593.183,116.479,1.0,598.579,91.904,1.0,578.407,265.018,1.0
378,590.5,170.507,1.0,581.483,237.206,1.0,593.047,116.412,1.0,598.162,91.804,1.0,578.37,265.025,1.0
